type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2018-10-24 07:55:57,53.56766107,9.97425363,5,84.000,,0.188,248,16,19,20181024-095557,GPS Logger: 20181024-095557
T,2018-10-24 07:55:58,53.56765993,9.97427342,5,84.800,,0.875,180,15,19,,
T,2018-10-24 07:55:59,53.56765247,9.97429077,5,84.900,,1.250,150,15,20,,
T,2018-10-24 07:56:00,53.56763911,9.97431139,5,84.800,,1.688,136,15,20,,
T,2018-10-24 07:56:01,53.56762243,9.97433376,5,84.100,,2.062,129,15,20,,
T,2018-10-24 07:56:02,53.56760218,9.97435925,5,83.400,,2.500,127,16,20,,
T,2018-10-24 07:56:03,53.56757968,9.97438179,5,83.200,,2.625,131,15,19,,
T,2018-10-24 07:56:04,53.56755700,9.97440258,5,83.000,,2.688,136,15,18,,
T,2018-10-24 07:56:05,53.56753282,9.97442639,5,82.800,,2.875,138,16,19,,
T,2018-10-24 07:56:06,53.56750533,9.97445304,5,82.700,,3.188,140,15,18,,
T,2018-10-24 07:56:07,53.56747302,9.97448045,5,82.600,,3.562,142,15,18,,
T,2018-10-24 07:56:08,53.56744423,9.97451046,5,82.600,,3.500,143,15,19,,
T,2018-10-24 07:56:09,53.56740856,9.97454197,5,82.500,,3.875,146,15,19,,
T,2018-10-24 07:56:10,53.56736414,9.97457676,5,82.200,,4.500,150,16,19,,
T,2018-10-24 07:56:11,53.56731971,9.97461624,5,81.800,,4.875,151,14,19,,
T,2018-10-24 07:56:12,53.56727889,9.97466820,5,81.200,,5.062,144,16,19,,
T,2018-10-24 07:56:13,53.56722776,9.97472671,5,80.100,,5.812,142,16,19,,
T,2018-10-24 07:56:14,53.56717529,9.97479460,5,79.100,,6.562,141,16,19,,
T,2018-10-24 07:56:15,53.56712014,9.97486484,5,78.400,,7.000,140,16,19,,
T,2018-10-24 07:56:16,53.56706494,9.97493441,5,77.500,,7.062,141,16,20,,
T,2018-10-24 07:56:17,53.56701558,9.97499946,5,77.000,,6.688,140,16,20,,
T,2018-10-24 07:56:18,53.56696709,9.97506257,5,76.500,,6.438,141,16,20,,
T,2018-10-24 07:56:19,53.56691759,9.97512418,5,76.400,,6.500,141,15,20,,
T,2018-10-24 07:56:20,53.56687178,9.97519584,5,76.300,,6.625,140,15,20,,
T,2018-10-24 07:56:21,53.56682837,9.97527665,5,76.200,,6.750,137,15,20,,
T,2018-10-24 07:56:22,53.56678528,9.97535795,5,75.900,,6.688,137,15,20,,
T,2018-10-24 07:56:23,53.56675192,9.97543900,5,75.800,,6.188,136,14,20,,
T,2018-10-24 07:56:24,53.56671374,9.97550732,5,75.900,,6.000,136,16,19,,
T,2018-10-24 07:56:25,53.56667347,9.97557521,5,76.000,,6.188,137,15,19,,
T,2018-10-24 07:56:26,53.56662904,9.97565165,5,75.800,,6.938,137,14,18,,
T,2018-10-24 07:56:27,53.56657896,9.97572114,5,75.600,,7.062,139,15,18,,
T,2018-10-24 07:56:28,53.56652658,9.97579674,5,74.800,,7.188,141,14,18,,
T,2018-10-24 07:56:29,53.56647586,9.97587604,5,74.200,,7.250,141,14,18,,
T,2018-10-24 07:56:30,53.56642696,9.97595659,5,73.500,,7.188,140,14,18,,
T,2018-10-24 07:56:31,53.56638211,9.97603915,5,73.100,,6.938,139,14,18,,
T,2018-10-24 07:56:32,53.56635030,9.97611551,5,72.600,,5.688,135,15,19,,
T,2018-10-24 07:56:33,53.56632889,9.97616270,5,72.300,,3.688,134,15,19,,
T,2018-10-24 07:56:34,53.56631875,9.97619404,5,72.000,,2.312,133,15,19,,
T,2018-10-24 07:56:35,53.56631715,9.97622774,5,72.100,,2.000,130,15,19,,
T,2018-10-24 07:56:36,53.56630886,9.97626512,5,72.300,,2.375,126,16,19,,
T,2018-10-24 07:56:37,53.56631472,9.97631701,5,72.500,,3.125,105,16,19,,
T,2018-10-24 07:56:38,53.56634087,9.97636923,5,72.700,,3.938,69,16,19,,
T,2018-10-24 07:56:39,53.56636644,9.97642103,5,72.500,,4.250,53,15,19,,
T,2018-10-24 07:56:40,53.56640005,9.97647995,5,72.300,,5.125,43,16,19,,
T,2018-10-24 07:56:41,53.56644749,9.97655103,5,72.000,,6.625,40,16,19,,
T,2018-10-24 07:56:42,53.56650436,9.97663569,5,71.500,,7.938,44,16,19,,
T,2018-10-24 07:56:43,53.56655746,9.97671976,5,71.200,,8.062,45,16,19,,
T,2018-10-24 07:56:44,53.56660989,9.97680902,5,71.100,,8.125,43,16,19,,
T,2018-10-24 07:56:45,53.56666236,9.97689963,5,71.100,,8.188,44,16,19,,
T,2018-10-24 07:56:46,53.56671500,9.97699167,5,71.200,,8.250,46,16,19,,
T,2018-10-24 07:56:47,53.56676169,9.97707867,5,71.200,,7.875,47,16,19,,
T,2018-10-24 07:56:48,53.56680586,9.97716232,5,71.300,,7.438,48,15,19,,
T,2018-10-24 07:56:49,53.56684668,9.97723508,5,71.400,,6.750,47,16,20,,
T,2018-10-24 07:56:50,53.56687581,9.97728880,5,71.300,,5.000,48,14,20,,
T,2018-10-24 07:56:51,53.56689592,9.97732108,5,71.500,,3.375,47,16,21,,
T,2018-10-24 07:56:52,53.56690070,9.97733222,5,71.700,,1.438,46,16,21,,
T,2018-10-24 07:56:53,53.56690175,9.97733876,5,71.500,,0.562,46,16,21,,
T,2018-10-24 07:56:54,53.56690020,9.97735066,5,70.600,,0.250,45,16,21,,
T,2018-10-24 07:56:55,53.56689936,9.97736567,5,70.000,,0.562,48,16,21,,
T,2018-10-24 07:56:56,53.56690699,9.97737505,5,70.000,,0.688,50,16,21,,
T,2018-10-24 07:56:57,53.56691583,9.97738243,5,70.100,,0.812,51,16,21,,
T,2018-10-24 07:56:58,53.56692560,9.97739383,5,70.300,,1.062,50,16,21,,
T,2018-10-24 07:56:59,53.56693557,9.97740339,5,70.600,,1.000,46,16,21,,
T,2018-10-24 07:57:00,53.56693029,9.97739743,5,70.500,,0.000,46,14,21,,
T,2018-10-24 07:57:01,53.56693042,9.97739743,5,70.500,,0.000,46,15,21,,
T,2018-10-24 07:57:02,53.56693058,9.97739760,5,70.500,,0.000,46,16,21,,
T,2018-10-24 07:57:03,53.56693058,9.97739760,5,70.500,,0.062,46,16,21,,
T,2018-10-24 07:57:04,53.56693058,9.97739760,5,70.500,,0.062,46,16,21,,
T,2018-10-24 07:57:05,53.56693058,9.97739760,5,70.500,,0.000,46,16,21,,
T,2018-10-24 07:57:06,53.56693058,9.97739760,5,70.500,,0.000,46,16,21,,
T,2018-10-24 07:57:07,53.56693058,9.97739760,5,70.500,,0.000,46,16,21,,
T,2018-10-24 07:57:08,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:09,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:10,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:11,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:12,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:13,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:14,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:15,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:16,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:17,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:18,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:19,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:20,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:21,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:22,53.56693058,9.97739760,5,70.500,,0.000,46,15,20,,
T,2018-10-24 07:57:23,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:24,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:25,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:26,53.56693058,9.97739760,5,70.500,,0.000,46,16,20,,
T,2018-10-24 07:57:27,53.56693058,9.97739760,5,70.500,,0.000,46,16,19,,
T,2018-10-24 07:57:28,53.56693058,9.97739760,5,70.500,,0.125,46,16,19,,
T,2018-10-24 07:57:29,53.56696554,9.97746952,5,69.500,,1.062,34,15,19,,
T,2018-10-24 07:57:30,53.56697266,9.97747983,5,69.200,,1.125,21,16,18,,
T,2018-10-24 07:57:31,53.56699487,9.97746550,5,68.600,,2.750,350,16,18,,
T,2018-10-24 07:57:32,53.56703552,9.97742250,5,68.600,,4.875,332,15,17,,
T,2018-10-24 07:57:33,53.56707861,9.97736542,5,68.400,,5.812,321,15,17,,
T,2018-10-24 07:57:34,53.56712831,9.97729291,5,68.300,,7.062,315,15,17,,
T,2018-10-24 07:57:35,53.56718824,9.97720465,5,68.300,,8.625,314,14,17,,
T,2018-10-24 07:57:36,53.56725454,9.97710139,5,68.200,,9.812,314,14,17,,
T,2018-10-24 07:57:37,53.56732801,9.97699292,5,68.000,,10.562,316,14,18,,
T,2018-10-24 07:57:38,53.56740596,9.97688086,5,67.800,,11.188,318,15,18,,
T,2018-10-24 07:57:39,53.56748622,9.97676712,5,67.700,,11.438,320,16,18,,
T,2018-10-24 07:57:40,53.56756518,9.97664558,5,67.300,,11.688,320,13,18,,
T,2018-10-24 07:57:41,53.56764292,9.97651624,5,67.000,,11.938,317,15,19,,
T,2018-10-24 07:57:42,53.56771794,9.97637526,5,66.500,,12.125,316,15,19,,
T,2018-10-24 07:57:43,53.56779484,9.97624786,5,66.300,,11.812,316,16,19,,
T,2018-10-24 07:57:44,53.56786957,9.97612313,5,66.000,,11.438,316,15,19,,
T,2018-10-24 07:57:45,53.56794647,9.97601040,5,65.800,,11.125,317,14,19,,
T,2018-10-24 07:57:46,53.56802149,9.97589280,5,65.800,,11.312,317,15,19,,
T,2018-10-24 07:57:47,53.56810107,9.97577445,5,65.800,,11.625,317,15,19,,
T,2018-10-24 07:57:48,53.56817739,9.97565459,5,65.600,,11.500,317,15,19,,
T,2018-10-24 07:57:49,53.56825245,9.97554109,5,65.500,,11.125,317,14,20,,
T,2018-10-24 07:57:50,53.56832282,9.97542802,5,65.100,,10.938,316,14,20,,
T,2018-10-24 07:57:51,53.56839725,9.97531026,5,64.700,,11.312,316,14,20,,
T,2018-10-24 07:57:52,53.56847440,9.97518729,5,64.400,,11.750,317,15,20,,
T,2018-10-24 07:57:53,53.56855152,9.97506064,5,64.200,,11.812,316,14,19,,
T,2018-10-24 07:57:54,53.56862779,9.97493894,5,64.100,,11.625,317,15,19,,
T,2018-10-24 07:57:55,53.56870478,9.97482469,5,63.900,,11.312,319,13,19,,
T,2018-10-24 07:57:56,53.56878122,9.97471782,5,63.800,,11.000,321,14,19,,
T,2018-10-24 07:57:57,53.56885415,9.97461112,5,63.600,,10.750,321,15,18,,
T,2018-10-24 07:57:58,53.56892677,9.97451850,5,63.700,,10.062,323,14,18,,
T,2018-10-24 07:57:59,53.56898109,9.97443602,5,63.800,,8.250,324,14,19,,
T,2018-10-24 07:58:00,53.56901675,9.97437517,5,64.000,,5.750,324,15,19,,
T,2018-10-24 07:58:01,53.56902870,9.97433268,5,64.000,,3.000,325,15,19,,
T,2018-10-24 07:58:02,53.56903239,9.97431625,5,64.100,,0.500,326,15,19,,
T,2018-10-24 07:58:03,53.56903063,9.97431608,5,64.100,,0.000,326,14,19,,
T,2018-10-24 07:58:04,53.56903050,9.97431591,5,64.100,,0.000,327,15,20,,
T,2018-10-24 07:58:05,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:06,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:07,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:08,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:09,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:10,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:11,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:12,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:13,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:14,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:15,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:16,53.56903050,9.97431591,5,64.100,,0.000,326,14,20,,
T,2018-10-24 07:58:17,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:18,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:19,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:20,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:21,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:22,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:23,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:24,53.56903050,9.97431591,5,64.100,,0.000,326,14,20,,
T,2018-10-24 07:58:25,53.56903050,9.97431591,5,64.100,,0.000,326,13,20,,
T,2018-10-24 07:58:26,53.56903050,9.97431591,5,64.100,,0.000,326,14,20,,
T,2018-10-24 07:58:27,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:28,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:29,53.56903050,9.97431591,5,64.100,,0.000,326,14,20,,
T,2018-10-24 07:58:30,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:31,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:32,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:33,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:34,53.56903050,9.97431591,5,64.100,,0.000,326,15,20,,
T,2018-10-24 07:58:35,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:36,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:37,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:38,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:39,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:40,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:41,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:42,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:43,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:44,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:45,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:46,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:47,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:48,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:49,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:50,53.56903050,9.97431591,5,64.100,,0.000,326,16,20,,
T,2018-10-24 07:58:51,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:52,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:53,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:54,53.56903050,9.97431591,5,64.100,,0.000,326,16,19,,
T,2018-10-24 07:58:55,53.56903050,9.97431591,5,64.100,,0.000,326,16,18,,
T,2018-10-24 07:58:56,53.56903050,9.97431591,5,64.100,,0.000,326,16,18,,
T,2018-10-24 07:58:57,53.56903050,9.97431591,5,64.100,,0.000,326,16,18,,
T,2018-10-24 07:58:58,53.56903050,9.97431591,5,64.100,,0.000,326,16,18,,
T,2018-10-24 07:58:59,53.56903050,9.97431591,5,64.100,,0.000,326,16,18,,
T,2018-10-24 07:59:00,53.56903050,9.97431591,5,64.100,,0.688,325,16,19,,
T,2018-10-24 07:59:01,53.56905288,9.97427803,5,64.300,,2.750,319,16,18,,
T,2018-10-24 07:59:02,53.56907111,9.97423251,5,64.100,,3.500,318,16,18,,
T,2018-10-24 07:59:03,53.56909554,9.97419219,5,64.000,,3.688,322,16,19,,
T,2018-10-24 07:59:04,53.56912576,9.97416554,5,63.900,,3.688,336,16,19,,
T,2018-10-24 07:59:05,53.56916046,9.97415951,5,64.000,,3.688,358,17,20,,
T,2018-10-24 07:59:06,53.56919152,9.97417535,5,64.100,,3.500,17,17,20,,
T,2018-10-24 07:59:07,53.56922182,9.97421089,5,64.300,,4.000,36,17,20,,
T,2018-10-24 07:59:08,53.56925405,9.97426763,5,64.300,,5.000,52,15,20,,
T,2018-10-24 07:59:09,53.56929373,9.97434290,5,64.300,,6.375,58,16,20,,
T,2018-10-24 07:59:10,53.56934017,9.97443301,5,64.100,,7.625,60,16,20,,
T,2018-10-24 07:59:11,53.56939453,9.97453728,5,64.000,,8.750,57,17,20,,
T,2018-10-24 07:59:12,53.56945387,9.97464742,5,64.000,,9.312,56,16,19,,
T,2018-10-24 07:59:13,53.56951238,9.97475998,5,64.000,,9.500,54,16,19,,
T,2018-10-24 07:59:14,53.56958077,9.97488270,5,63.800,,10.250,52,15,18,,
T,2018-10-24 07:59:15,53.56964854,9.97500767,5,63.800,,10.625,51,14,18,,
T,2018-10-24 07:59:16,53.56971409,9.97513097,5,63.900,,10.562,50,14,17,,
T,2018-10-24 07:59:17,53.56977649,9.97524437,5,63.900,,10.188,48,12,17,,
T,2018-10-24 07:59:18,53.56983944,9.97535099,5,63.800,,9.875,45,13,17,,
T,2018-10-24 07:59:19,53.56990457,9.97544998,5,63.700,,9.688,42,12,18,,
T,2018-10-24 07:59:20,53.56997376,9.97554805,5,63.600,,9.750,41,13,19,,
T,2018-10-24 07:59:21,53.57004865,9.97564168,5,63.600,,10.062,39,14,19,,
T,2018-10-24 07:59:22,53.57012958,9.97573832,5,64.000,,10.562,38,14,19,,
T,2018-10-24 07:59:23,53.57021369,9.97583706,5,64.100,,11.000,37,13,19,,
T,2018-10-24 07:59:24,53.57029520,9.97594032,5,64.000,,11.125,37,14,19,,
T,2018-10-24 07:59:25,53.57037873,9.97604392,5,64.300,,11.312,38,14,19,,
T,2018-10-24 07:59:26,53.57045836,9.97615071,5,64.400,,11.250,38,13,19,,
T,2018-10-24 07:59:27,53.57053505,9.97625850,5,64.200,,11.188,38,15,18,,
T,2018-10-24 07:59:28,53.57061066,9.97636361,5,64.000,,10.688,40,15,17,,
T,2018-10-24 07:59:29,53.57068186,9.97646579,5,64.000,,10.375,40,15,17,,
T,2018-10-24 07:59:30,53.57076317,9.97657048,5,64.000,,10.875,39,14,17,,
T,2018-10-24 07:59:31,53.57084652,9.97667299,5,63.700,,11.000,38,14,16,,
T,2018-10-24 07:59:32,53.57092276,9.97677131,5,63.600,,10.688,38,14,16,,
T,2018-10-24 07:59:33,53.57100058,9.97687181,5,63.600,,10.625,38,15,15,,
T,2018-10-24 07:59:34,53.57107464,9.97697105,5,63.600,,10.375,39,14,15,,
T,2018-10-24 07:59:35,53.57114630,9.97706928,5,63.800,,10.125,40,13,15,,
T,2018-10-24 07:59:36,53.57121679,9.97717137,5,64.200,,9.938,44,13,15,,
T,2018-10-24 07:59:37,53.57128129,9.97727355,5,64.400,,9.625,46,13,15,,
T,2018-10-24 07:59:38,53.57133921,9.97737170,5,64.200,,9.125,47,13,15,,
T,2018-10-24 07:59:39,53.57139642,9.97746248,5,64.100,,8.688,45,14,16,,
T,2018-10-24 07:59:40,53.57145228,9.97754755,5,63.900,,8.438,43,12,16,,
T,2018-10-24 07:59:41,53.57150727,9.97762576,5,63.500,,8.125,39,13,15,,
T,2018-10-24 07:59:42,53.57156137,9.97769239,5,62.700,,7.688,34,14,16,,
T,2018-10-24 07:59:43,53.57162110,9.97774931,5,62.200,,7.562,30,15,16,,
T,2018-10-24 07:59:44,53.57168312,9.97780002,5,62.000,,7.500,27,16,16,,
T,2018-10-24 07:59:45,53.57174112,9.97785031,5,61.900,,7.312,25,15,16,,
T,2018-10-24 07:59:46,53.57179804,9.97790085,5,61.500,,7.312,26,14,16,,
T,2018-10-24 07:59:47,53.57185478,9.97795315,5,61.400,,7.125,29,14,15,,
T,2018-10-24 07:59:48,53.57190583,9.97800227,5,61.000,,6.438,32,12,15,,
T,2018-10-24 07:59:49,53.57194384,9.97804569,5,60.500,,5.188,33,12,14,,
T,2018-10-24 07:59:50,53.57197171,9.97807595,5,60.000,,3.750,33,11,14,,
T,2018-10-24 07:59:51,53.57198898,9.97809489,5,59.600,,2.375,34,12,15,,
T,2018-10-24 07:59:52,53.57199564,9.97810420,5,59.300,,1.062,35,13,15,,
T,2018-10-24 07:59:53,53.57199480,9.97810344,5,59.200,,0.000,35,14,16,,
T,2018-10-24 07:59:54,53.57199480,9.97810344,5,59.200,,0.000,36,13,16,,
T,2018-10-24 07:59:55,53.57199480,9.97810344,5,59.200,,0.000,36,14,16,,
T,2018-10-24 07:59:56,53.57199480,9.97810344,5,59.200,,0.000,36,13,18,,
T,2018-10-24 07:59:57,53.57199480,9.97810344,5,59.200,,0.000,36,14,18,,
T,2018-10-24 07:59:58,53.57199480,9.97810344,5,59.200,,0.000,36,16,18,,
T,2018-10-24 07:59:59,53.57199480,9.97810344,5,59.200,,0.000,36,15,18,,
T,2018-10-24 08:00:00,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:01,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:02,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:03,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:04,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:05,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:06,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:07,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:08,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:09,53.57199480,9.97810344,5,59.200,,0.000,36,15,18,,
T,2018-10-24 08:00:10,53.57199480,9.97810344,5,59.200,,0.000,36,15,18,,
T,2018-10-24 08:00:11,53.57199480,9.97810344,5,59.200,,0.000,36,15,18,,
T,2018-10-24 08:00:12,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:13,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:14,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:15,53.57199480,9.97810344,5,59.200,,0.000,36,16,17,,
T,2018-10-24 08:00:16,53.57199480,9.97810344,5,59.200,,0.000,36,14,16,,
T,2018-10-24 08:00:17,53.57199480,9.97810344,5,59.200,,0.000,36,14,16,,
T,2018-10-24 08:00:18,53.57199480,9.97810344,5,59.200,,0.000,36,14,16,,
T,2018-10-24 08:00:19,53.57199480,9.97810344,5,59.200,,0.000,36,14,16,,
T,2018-10-24 08:00:20,53.57199480,9.97810344,5,59.200,,0.000,36,15,15,,
T,2018-10-24 08:00:21,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:22,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:23,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:24,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:25,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:26,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:27,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:28,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:29,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:30,53.57199480,9.97810344,5,59.200,,0.000,36,15,16,,
T,2018-10-24 08:00:31,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:32,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:33,53.57199480,9.97810344,5,59.200,,0.000,36,15,17,,
T,2018-10-24 08:00:34,53.57199480,9.97810344,5,59.200,,0.688,35,15,17,,
T,2018-10-24 08:00:35,53.57201299,9.97812012,5,57.600,,2.375,34,15,17,,
T,2018-10-24 08:00:36,53.57204082,9.97814963,5,57.100,,3.750,33,15,17,,
T,2018-10-24 08:00:37,53.57207573,9.97818617,5,56.700,,4.562,32,15,18,,
T,2018-10-24 08:00:38,53.57211420,9.97822272,5,56.700,,4.812,32,16,17,,
T,2018-10-24 08:00:39,53.57215263,9.97826253,5,56.700,,5.000,35,16,18,,
T,2018-10-24 08:00:40,53.57219086,9.97830863,5,56.900,,5.250,37,16,19,,
T,2018-10-24 08:00:41,53.57222639,9.97835775,5,56.900,,5.125,41,16,19,,
T,2018-10-24 08:00:42,53.57225431,9.97840452,5,57.200,,4.312,44,16,19,,
T,2018-10-24 08:00:43,53.57227396,9.97844568,5,58.000,,3.375,45,15,19,,
T,2018-10-24 08:00:44,53.57228779,9.97847484,5,58.400,,2.438,47,15,19,,
T,2018-10-24 08:00:45,53.57229684,9.97849563,5,58.800,,1.688,48,15,19,,
T,2018-10-24 08:00:46,53.57230347,9.97851139,5,59.100,,1.250,49,15,20,,
T,2018-10-24 08:00:47,53.57230891,9.97852304,5,59.400,,1.000,49,15,20,,
T,2018-10-24 08:00:48,53.57230891,9.97852304,5,59.400,,0.438,49,14,20,,
T,2018-10-24 08:00:49,53.57230891,9.97852304,5,59.400,,0.188,49,14,20,,
T,2018-10-24 08:00:50,53.57230891,9.97852304,5,59.400,,0.062,49,14,20,,
T,2018-10-24 08:00:51,53.57230891,9.97852304,5,59.400,,0.125,49,14,20,,
T,2018-10-24 08:00:52,53.57230891,9.97852304,5,59.400,,0.188,49,15,20,,
T,2018-10-24 08:00:53,53.57230891,9.97852304,5,59.400,,0.125,49,15,20,,
T,2018-10-24 08:00:54,53.57230891,9.97852304,5,59.400,,0.188,49,15,20,,
T,2018-10-24 08:00:55,53.57230891,9.97852304,5,59.400,,0.188,49,13,20,,
T,2018-10-24 08:00:56,53.57230891,9.97852304,5,59.400,,0.188,49,13,20,,
T,2018-10-24 08:00:57,53.57230891,9.97852304,5,59.400,,0.125,49,14,20,,
T,2018-10-24 08:00:58,53.57230891,9.97852304,5,59.400,,0.125,49,14,20,,
